Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

03:09:44 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:17 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:17 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:17 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:17 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:17 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:17 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:17 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:17 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:18 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:18 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:18 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:18 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:18 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:18 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:18 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:18 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:18 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:18 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:18 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:18 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:18 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:18 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:18 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:18 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:18 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:18 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:18 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:18 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:18 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:18 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:18 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:18 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:18 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:19 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:19 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:19 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:19 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:19 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:19 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:19 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:19 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:19 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:19 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:19 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:19 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:19 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:19 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:19 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:19 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:19 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:19 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:19 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:19 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:19 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:19 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:19 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:19 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:19 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:20 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:20 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:20 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:20 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:20 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:20 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:20 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:20 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:20 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:20 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:20 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:20 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:20 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:20 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:20 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:20 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:20 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:20 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:20 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:20 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:20 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:20 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:20 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:20 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:20 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:21 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:21 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:21 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:21 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:21 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:21 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:21 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:21 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:21 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:21 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:21 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:21 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:21 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:21 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:21 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:21 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:21 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:21 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:21 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:21 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:21 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:21 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:21 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:21 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:21 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:22 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:22 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:22 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:22 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:22 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:22 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:22 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:22 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:22 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:22 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:22 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:22 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:22 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:22 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:22 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:22 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:22 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:22 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:22 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:22 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:22 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:22 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:22 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:22 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:22 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:23 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:23 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:23 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:23 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:23 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:23 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:23 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:23 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:23 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:23 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:23 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:23 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:23 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:23 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:23 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:23 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:23 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:23 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:23 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:23 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:23 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:23 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:23 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:23 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:23 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:24 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:24 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:24 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:24 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:24 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:24 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:24 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:24 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:24 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:24 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:24 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:24 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:24 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:24 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:24 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:24 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:24 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:24 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:24 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:24 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:24 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:24 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:24 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:24 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:24 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:25 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:25 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:25 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:25 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:25 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:25 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:25 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:25 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:25 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:25 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:25 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:25 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:25 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:25 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:25 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:25 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:25 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:25 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:25 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:25 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:25 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:25 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:25 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:25 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:25 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:26 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:26 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:26 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:26 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:26 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:26 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:26 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:26 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:26 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:26 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:26 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:26 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:26 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:26 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:26 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:26 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:26 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:26 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:26 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:26 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:26 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:26 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:26 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:26 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:26 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:27 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:27 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:27 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:27 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:27 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:27 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:27 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:27 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:27 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:27 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:27 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:27 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:27 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:27 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:27 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:27 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:27 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:27 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:27 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:27 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:27 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:27 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:27 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:27 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:27 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:28 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:28 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:28 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:28 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:28 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:28 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:28 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:28 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:28 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:28 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:28 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:28 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:28 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:28 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:28 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:28 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:28 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:28 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:28 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:28 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:28 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:28 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:28 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:28 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:28 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:29 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:29 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:29 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:29 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:29 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:29 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:29 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:29 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:29 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:29 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:29 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:29 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:29 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:29 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:29 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:29 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:29 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:29 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:29 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:29 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:29 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:29 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:29 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:29 PM 100998   3373239    0.00    0.00    0.00    0.00    0.00     4  postgres

03:12:29 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:12:30 PM 100998   3372232    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:30 PM 100998   3372233    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:30 PM 100998   3372235    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:30 PM 100998   3372236    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:30 PM 100998   3373170    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:30 PM 100998   3373180    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:30 PM 100998   3373182    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:30 PM 100998   3373183    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:30 PM 100998   3373184    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:30 PM 100998   3373186    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:30 PM 100998   3373187    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:30 PM 100998   3373188    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:30 PM 100998   3373189    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:30 PM 100998   3373190    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:30 PM 100998   3373191    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:30 PM 100998   3373192    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:30 PM 100998   3373194    0.00    0.00    0.00    0.00    0.00     5  postgres
03:12:30 PM 100998   3373195    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:30 PM 100998   3373198    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:30 PM 100998   3373200    0.00    0.00    0.00    0.00    0.00     6  postgres
03:12:30 PM 100998   3373202    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:30 PM 100998   3373204    0.00    0.00    0.00    0.00    0.00     4  postgres
03:12:30 PM 100998   3373213    0.00    0.00    0.00    0.00    0.00     6  postgres
